Name,pointNumber,setNum,gameNumber,player1Name,player2Name,pointScore,gameScore,setScore,tiebreakScore,side,serverName,returnerName,Position,pointEndPosition,Duration,pointWonBy,rallyCount,rallyCountFreq,firstServeIn,secondServeIn,serveResult,serveInPlacement,firstServeZone,secondServeZone,isAce,returnDirection,returnFhBh,errorType,returnError,lastShotDirection,lastShotFhBh,lastShotHitBy,lastShotResult,isBreakPoint,atNetPlayer1,atNetPlayer2,player1SetScore,player2SetScore,player1GameScore,player2GameScore,player1PointScore,player2PointScore,player1TiebreakScore,player2TiebreakScore,player1ServeResult,player1ServePlacement,player1ReturnPlacement,player1ReturnFhBh,player1LastShotPlacement,player1LastShotFhBh,player1LastShotResult,player2ServeResult,player2ServePlacement,player2ReturnPlacement,player2ReturnFhBh,player2LastShotPlacement,player2LastShotFhBh,player2LastShotResult,clientTeam,opponentTeam
"Set 1: 4-2, 15-0 Elise Wagle Serving",35,1,7,Elise Wagle,Sara Svetac,15-0,4-2,0-0,,Ad,Elise Wagle,Sara Svetac,1681903,1694314,,Sara Svetac,8,5 - 8,1,0,1st Serve In,Wide,Wide,,False,Crosscourt,Backhand,,,Crosscourt,Forehand,Sara Svetac,Winner,False,,,0,0,4,2,15,0,,,1st Serve In,Ad: Wide,,,,,,,,Crosscourt,Backhand,Crosscourt,Forehand,Winner,,Arizona State
"Set 1: 4-2, 15-15 Elise Wagle Serving",36,1,7,Elise Wagle,Sara Svetac,15-15,4-2,0-0,,Deuce,Elise Wagle,Sara Svetac,1721493,1735738,,Elise Wagle,4,1 - 4,1,0,1st Serve In,Wide,Wide,,False,Down the Line,Forehand,Long,,Crosscourt,Backhand,Sara Svetac,Error,False,,,0,0,4,2,15,15,,,1st Serve In,Deuce: Wide,,,,,,,,Down the Line,Forehand,Crosscourt,Backhand,Error,,Arizona State
"Set 1: 4-2, 30-15 Elise Wagle Serving",37,1,7,Elise Wagle,Sara Svetac,30-15,4-2,0-0,,Ad,Elise Wagle,Sara Svetac,1750982,1759754,,Sara Svetac,5,5 - 8,1,0,1st Serve In,Body,Body,,False,Down the Line,Forehand,Net,,Down the Line,Backhand,Elise Wagle,Error,False,,,0,0,4,2,30,15,,,1st Serve In,Ad: Body,,,Down the Line,Backhand,Error,,,Down the Line,Forehand,,,,,Arizona State
"Set 1: 4-2, 30-30 Elise Wagle Serving",38,1,7,Elise Wagle,Sara Svetac,30-30,4-2,0-0,,Deuce,Elise Wagle,Sara Svetac,1785201,1816989,,Elise Wagle,13,13 +,0,1,2nd Serve In,Body,Wide,Body,False,Down the Line,Forehand,,,Down the Line,Backhand,Elise Wagle,Winner,False,,,0,0,4,2,30,30,,,2nd Serve In,Deuce: Body,,,Down the Line,Backhand,Winner,,,Down the Line,Forehand,,,,,Arizona State
"Set 1: 4-2, 40-30 Elise Wagle Serving",39,1,7,Elise Wagle,Sara Svetac,40-30,4-2,0-0,,Ad,Elise Wagle,Sara Svetac,1848296,1866138,,Elise Wagle,3,1 - 4,1,0,1st Serve In,T,T,,False,Down the Line,Forehand,,,Down the Line,Forehand,Elise Wagle,Winner,False,,,0,0,4,2,40,30,,,1st Serve In,Ad: T,,,Down the Line,Forehand,Winner,,,Down the Line,Forehand,,,,,Arizona State
"Set 1: 5-2, 0-0 Sara Svetac Serving",40,1,8,Elise Wagle,Sara Svetac,0-0,5-2,0-0,,Deuce,Sara Svetac,Elise Wagle,2194232,2223605,,Elise Wagle,10,9 - 12,0,1,2nd Serve In,Body,T,Body,False,Crosscourt,Forehand,,,Down the Line,Forehand,Elise Wagle,Winner,False,,,0,0,5,2,0,0,,,,,Crosscourt,Forehand,Down the Line,Forehand,Winner,2nd Serve In,Deuce: Body,,,,,,,Arizona State
"Set 1: 5-2, 15-0 Sara Svetac Serving",41,1,8,Elise Wagle,Sara Svetac,15-0,5-2,0-0,,Ad,Sara Svetac,Elise Wagle,2246484,2271394,,Sara Svetac,6,5 - 8,0,1,2nd Serve In,Body,Wide,Body,False,Crosscourt,Forehand,Wide Left,,Crosscourt,Backhand,Elise Wagle,Error,False,,,0,0,5,2,15,0,,,,,Crosscourt,Forehand,Crosscourt,Backhand,Error,2nd Serve In,Ad: Body,,,,,,,Arizona State
"Set 1: 5-2, 15-15 Sara Svetac Serving",42,1,8,Elise Wagle,Sara Svetac,15-15,5-2,0-0,,Deuce,Sara Svetac,Elise Wagle,2293199,2313584,,Elise Wagle,3,1 - 4,0,1,2nd Serve In,Body,Body,Body,False,Crosscourt,Forehand,Net,,Crosscourt,Forehand,Sara Svetac,Error,False,,,0,0,5,2,15,15,,,,,Crosscourt,Forehand,,,,2nd Serve In,Deuce: Body,,,Crosscourt,Forehand,Error,,Arizona State
"Set 1: 5-2, 15-30 Sara Svetac Serving",43,1,8,Elise Wagle,Sara Svetac,15-30,5-2,0-0,,Ad,Sara Svetac,Elise Wagle,2334585,2346951,,Sara Svetac,6,5 - 8,0,0,Double Fault,,Wide,,False,Down the Line,Backhand,Long,,Down the Line,Forehand,Elise Wagle,Error,False,,,0,0,5,2,15,30,,,,,Down the Line,Backhand,Down the Line,Forehand,Error,Double Fault,,,,,,,,Arizona State
"Set 1: 5-2, 30-30 Sara Svetac Serving",44,1,8,Elise Wagle,Sara Svetac,30-30,5-2,0-0,,Deuce,Sara Svetac,Elise Wagle,2362243,2381674,,Elise Wagle,11,9 - 12,1,0,1st Serve In,Body,Body,,False,Crosscourt,Forehand,Long,,Down the Line,Forehand,Sara Svetac,Error,False,,,0,0,5,2,30,30,,,,,Crosscourt,Forehand,,,,1st Serve In,Deuce: Body,,,Down the Line,Forehand,Error,,Arizona State
